OrderID,OrderDate,ShipDate,ShipMode,CustomerID,Sales,Quantity,Discount,Profit,ProductCount
CA-2016-152156,2016-11-08 00:00:00.000000,2016-11-11 00:00:00.000000,Second Class,CG-12520,993.9000000000001,5,0.0,261.49559999999997,2
CA-2016-138688,2016-06-12 00:00:00.000000,2016-06-16 00:00:00.000000,Second Class,DV-13045,14.62,2,0.0,6.8714,1
US-2015-108966,2015-10-11 00:00:00.000000,2015-10-18 00:00:00.000000,Standard Class,SO-20335,979.9455,7,0.65,-380.51460000000003,2
CA-2014-115812,2014-06-09 00:00:00.000000,2014-06-14 00:00:00.000000,Standard Class,BH-11710,3714.304,38,0.8,300.7687,7
CA-2017-114412,2017-04-15 00:00:00.000000,2017-04-20 00:00:00.000000,Standard Class,AA-10480,15.552,3,0.2,5.4432,1
CA-2016-161389,2016-12-05 00:00:00.000000,2016-12-10 00:00:00.000000,Standard Class,IM-15070,407.976,3,0.2,132.5922,1
US-2015-118983,2015-11-22 00:00:00.000000,2015-11-26 00:00:00.000000,Standard Class,HP-14815,71.354,8,1.6,-127.674,2
CA-2014-105893,2014-11-11 00:00:00.000000,2014-11-18 00:00:00.000000,Standard Class,PK-19075,665.88,6,0.0,13.3176,1
CA-2014-167164,2014-05-13 00:00:00.000000,2014-05-15 00:00:00.000000,Second Class,AG-10270,55.5,2,0.0,9.99,1
CA-2014-143336,2014-08-27 00:00:00.000000,2014-09-01 00:00:00.000000,Second Class,ZD-21925,244.76,9,0.4,25.8774,3
CA-2016-137330,2016-12-09 00:00:00.000000,2016-12-13 00:00:00.000000,Standard Class,KB-16585,79.80000000000001,14,0.0,20.747999999999998,2
US-2017-156909,2017-07-16 00:00:00.000000,2017-07-18 00:00:00.000000,Second Class,SF-20065,71.372,2,0.3,-1.0196,1
CA-2015-106320,2015-09-25 00:00:00.000000,2015-09-30 00:00:00.000000,Standard Class,EB-13870,1044.63,3,0.0,240.2649,1
CA-2016-121755,2016-01-16 00:00:00.000000,2016-01-20 00:00:00.000000,Second Class,EH-13945,102.21799999999999,5,0.2,15.996500000000001,2
US-2015-150630,2015-09-17 00:00:00.000000,2015-09-21 00:00:00.000000,Standard Class,TB-21520,3329.434,28,2.7,-1647.9386,7
CA-2017-107727,2017-10-19 00:00:00.000000,2017-10-23 00:00:00.000000,Second Class,MA-17560,29.472,3,0.2,9.9468,1
CA-2016-117590,2016-12-08 00:00:00.000000,2016-12-10 00:00:00.000000,First Class,GH-14485,1288.4640000000002,12,0.8,-24.4893,2
CA-2015-117415,2015-12-27 00:00:00.000000,2015-12-31 00:00:00.000000,Standard Class,SN-20710,1228.9532,19,1.02,15.048000000000002,4
CA-2017-120999,2017-09-10 00:00:00.000000,2017-09-15 00:00:00.000000,Standard Class,LC-16930,147.168,4,0.2,16.5564,1
CA-2016-101343,2016-07-17 00:00:00.000000,2016-07-22 00:00:00.000000,Standard Class,RA-19885,77.88,2,0.0,3.894,1
CA-2017-139619,2017-09-19 00:00:00.000000,2017-09-23 00:00:00.000000,Standard Class,ES-14080,95.616,2,0.2,9.5616,1
CA-2016-118255,2016-03-11 00:00:00.000000,2016-03-13 00:00:00.000000,First Class,ON-18715,63.44,4,0.0,27.977600000000002,2
CA-2014-146703,2014-10-20 00:00:00.000000,2014-10-25 00:00:00.000000,Second Class,PO-18865,211.96,4,0.0,8.4784,1
CA-2016-169194,2016-06-20 00:00:00.000000,2016-06-25 00:00:00.000000,Standard Class,LH-16900,66.8,5,0.0,11.054,2
CA-2015-115742,2015-04-18 00:00:00.000000,2015-04-22 00:00:00.000000,Standard Class,DP-13000,209.55,15,0.0,73.3529,4
CA-2016-105816,2016-12-11 00:00:00.000000,2016-12-17 00:00:00.000000,Standard Class,JM-15265,1045.21,12,0.0,304.9421,2
CA-2016-111682,2016-06-17 00:00:00.000000,2016-06-18 00:00:00.000000,First Class,TB-21055,655.0899999999999,25,0.30000000000000004,102.2808,7
CA-2015-135545,2015-11-24 00:00:00.000000,2015-11-30 00:00:00.000000,Standard Class,KM-16720,266.294,15,0.2,106.8083,4
US-2015-164175,2015-04-30 00:00:00.000000,2015-05-05 00:00:00.000000,Standard Class,PS-18970,213.115,5,0.3,-15.2225,1
CA-2014-106376,2014-12-05 00:00:00.000000,2014-12-10 00:00:00.000000,Standard Class,BS-11590,1280.992,12,0.4,174.2904,2
CA-2016-119823,2016-06-04 00:00:00.000000,2016-06-06 00:00:00.000000,First Class,KD-16270,75.88,2,0.0,35.6636,1
CA-2016-106075,2016-09-18 00:00:00.000000,2016-09-23 00:00:00.000000,Standard Class,HM-14980,4.616,1,0.2,1.731,1
CA-2017-114440,2017-09-14 00:00:00.000000,2017-09-17 00:00:00.000000,Second Class,TB-21520,19.05,3,0.0,8.763,1
US-2015-134026,2015-04-26 00:00:00.000000,2015-05-02 00:00:00.000000,Standard Class,JE-15745,1001.76,11,0.6000000000000001,-131.3742,3
US-2017-118038,2017-12-09 00:00:00.000000,2017-12-11 00:00:00.000000,First Class,KB-16600,38.196,9,1.5999999999999999,-5.0352,3
US-2014-147606,2014-11-26 00:00:00.000000,2014-12-01 00:00:00.000000,Second Class,JE-15745,19.3,5,0.6,-14.475,1
CA-2016-127208,2016-06-12 00:00:00.000000,2016-06-15 00:00:00.000000,First Class,SC-20770,224.9,4,0.0,64.2384,2
CA-2014-139451,2014-10-12 00:00:00.000000,2014-10-16 00:00:00.000000,Standard Class,DN-13690,36.29,6,0.0,10.3751,2
CA-2015-149734,2015-09-03 00:00:00.000000,2015-09-08 00:00:00.000000,Standard Class,JC-16105,200.984,7,0.2,62.8075,1
US-2017-119662,2017-11-13 00:00:00.000000,2017-11-16 00:00:00.000000,First Class,CS-12400,230.376,3,0.2,-48.9549,1
CA-2017-140088,2017-05-28 00:00:00.000000,2017-05-30 00:00:00.000000,Second Class,PO-18865,301.96,2,0.0,33.2156,1
CA-2017-155558,2017-10-26 00:00:00.000000,2017-11-02 00:00:00.000000,Standard Class,PG-18895,26.15,3,0.0,9.7534,2
CA-2016-159695,2016-04-05 00:00:00.000000,2016-04-10 00:00:00.000000,Second Class,GM-14455,158.368,7,0.2,13.8572,1
CA-2016-109806,2016-09-17 00:00:00.000000,2016-09-22 00:00:00.000000,Standard Class,JS-15685,100.164,6,0.2,18.0216,3
CA-2015-149587,2015-01-31 00:00:00.000000,2015-02-05 00:00:00.000000,Second Class,KB-16315,99.26000000000002,7,0.0,38.9066,3
US-2017-109484,2017-11-06 00:00:00.000000,2017-11-12 00:00:00.000000,Standard Class,RB-19705,5.682,1,0.7,-3.788,1
CA-2017-161018,2017-11-09 00:00:00.000000,2017-11-11 00:00:00.000000,Second Class,PN-18775,96.53,7,0.0,40.5426,1
CA-2017-157833,2017-06-17 00:00:00.000000,2017-06-20 00:00:00.000000,First Class,KD-16345,51.312,3,0.2,17.9592,1
CA-2016-149223,2016-09-06 00:00:00.000000,2016-09-11 00:00:00.000000,Standard Class,ER-13855,77.88,6,0.0,22.5852,1
CA-2016-158568,2016-08-29 00:00:00.000000,2016-09-02 00:00:00.000000,Standard Class,RB-19465,162.388,13,1.2000000000000002,8.781500000000001,3
CA-2016-129903,2016-12-01 00:00:00.000000,2016-12-04 00:00:00.000000,Second Class,GZ-14470,23.92,4,0.0,11.7208,1
US-2015-156867,2015-11-13 00:00:00.000000,2015-11-17 00:00:00.000000,Standard Class,LC-16870,378.138,12,1.1,-56.5317,3
CA-2017-119004,2017-11-23 00:00:00.000000,2017-11-28 00:00:00.000000,Standard Class,JM-15250,105.408,10,0.6000000000000001,20.7748,3
CA-2015-129476,2015-10-15 00:00:00.000000,2015-10-20 00:00:00.000000,Standard Class,PA-19060,339.96,5,0.2,67.992,1
