product_key,product_id,category,subcategory,product_name
1,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
2,FUR-CH-10000454,Furniture,Chairs,"""Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"""
"\nOFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal"
"\nFUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table"
"\nOFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System"
"\nFUR-FU-10001487,Furniture,Furnishings,""Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"""
"\nOFF-AR-10002833,Office Supplies,Art,Newell 322"
"\nTEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone"
"\nOFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill"
"\nOFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge"
"\nFUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables"
"\nTEC-PH-10002033,Technology,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black"
"\nOFF-PA-10002365,Office Supplies,Paper,Xerox 1967"
"\nOFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine"
"\nOFF-AP-10002311,Office Supplies,Appliances,""Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"""
"\nOFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders"
"\nOFF-ST-10004186,Office Supplies,Storage,""Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"""
"\nOFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer"
"\nOFF-AR-10003056,Office Supplies,Art,Newell 341"
"\nTEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone"
"\nOFF-BI-10002215,Office Supplies,Binders,""Wilson Jones Hanging View Binder, White, 1"""""
"\nOFF-AR-10000246,Office Supplies,Art,Newell 318"
"\nOFF-AP-10001492,Office Supplies,Appliances,""Acco Six-Outlet Power Strip, 4' Cord Length"""
"\nFUR-CH-10002774,Furniture,Chairs,""Global Deluxe Stacking Chair, Gray"""
"\nOFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders"
"\nTEC-AC-10003027,Technology,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive"
