order_key,order_id,order_date_key,ship_date_key,customer_key,shipmode_key,store_key,total_sales,total_quantity,total_discount,total_profit,product_count
1,CA-2016-152156,20161108,20161111,1,NULL,4,993.90,5,0.00,261.4956,2
2,CA-2016-152156,20161108,20161111,1,NULL,3,993.90,5,0.00,261.4956,2
3,CA-2016-152156,20161108,20161111,1,NULL,2,993.90,5,0.00,261.4956,2
4,CA-2016-152156,20161108,20161111,1,NULL,1,993.90,5,0.00,261.4956,2
5,CA-2016-138688,20160612,20160616,2,NULL,4,14.62,2,0.00,6.8714,1
6,CA-2016-138688,20160612,20160616,2,NULL,3,14.62,2,0.00,6.8714,1
7,CA-2016-138688,20160612,20160616,2,NULL,2,14.62,2,0.00,6.8714,1
8,CA-2016-138688,20160612,20160616,2,NULL,1,14.62,2,0.00,6.8714,1
9,US-2015-108966,20151011,20151018,3,NULL,4,979.95,7,0.65,-380.5146,2
10,US-2015-108966,20151011,20151018,3,NULL,3,979.95,7,0.65,-380.5146,2
11,US-2015-108966,20151011,20151018,3,NULL,2,979.95,7,0.65,-380.5146,2
12,US-2015-108966,20151011,20151018,3,NULL,1,979.95,7,0.65,-380.5146,2
13,CA-2014-115812,20140609,20140614,4,NULL,4,3714.30,38,0.80,300.7687,7
14,CA-2014-115812,20140609,20140614,4,NULL,3,3714.30,38,0.80,300.7687,7
15,CA-2014-115812,20140609,20140614,4,NULL,2,3714.30,38,0.80,300.7687,7
16,CA-2014-115812,20140609,20140614,4,NULL,1,3714.30,38,0.80,300.7687,7
17,CA-2017-114412,20170415,20170420,5,NULL,4,15.55,3,0.20,5.4432,1
18,CA-2017-114412,20170415,20170420,5,NULL,3,15.55,3,0.20,5.4432,1
19,CA-2017-114412,20170415,20170420,5,NULL,2,15.55,3,0.20,5.4432,1
20,CA-2017-114412,20170415,20170420,5,NULL,1,15.55,3,0.20,5.4432,1
21,CA-2016-161389,20161205,20161210,6,NULL,4,407.98,3,0.20,132.5922,1
22,CA-2016-161389,20161205,20161210,6,NULL,3,407.98,3,0.20,132.5922,1
23,CA-2016-161389,20161205,20161210,6,NULL,2,407.98,3,0.20,132.5922,1
24,CA-2016-161389,20161205,20161210,6,NULL,1,407.98,3,0.20,132.5922,1
25,US-2015-118983,20151122,20151126,7,NULL,4,71.35,8,1.60,-127.6740,2
26,US-2015-118983,20151122,20151126,7,NULL,3,71.35,8,1.60,-127.6740,2
27,US-2015-118983,20151122,20151126,7,NULL,2,71.35,8,1.60,-127.6740,2
28,US-2015-118983,20151122,20151126,7,NULL,1,71.35,8,1.60,-127.6740,2
29,CA-2014-105893,20141111,20141118,8,NULL,4,665.88,6,0.00,13.3176,1
30,CA-2014-105893,20141111,20141118,8,NULL,3,665.88,6,0.00,13.3176,1
31,CA-2014-105893,20141111,20141118,8,NULL,2,665.88,6,0.00,13.3176,1
32,CA-2014-105893,20141111,20141118,8,NULL,1,665.88,6,0.00,13.3176,1
33,CA-2014-167164,20140513,20140515,9,NULL,4,55.50,2,0.00,9.9900,1
34,CA-2014-167164,20140513,20140515,9,NULL,3,55.50,2,0.00,9.9900,1
35,CA-2014-167164,20140513,20140515,9,NULL,2,55.50,2,0.00,9.9900,1
36,CA-2014-167164,20140513,20140515,9,NULL,1,55.50,2,0.00,9.9900,1
37,CA-2014-143336,20140827,20140901,10,NULL,4,244.76,9,0.40,25.8774,3
38,CA-2014-143336,20140827,20140901,10,NULL,3,244.76,9,0.40,25.8774,3
39,CA-2014-143336,20140827,20140901,10,NULL,2,244.76,9,0.40,25.8774,3
40,CA-2014-143336,20140827,20140901,10,NULL,1,244.76,9,0.40,25.8774,3
41,CA-2016-137330,20161209,20161213,11,NULL,4,79.80,14,0.00,20.7480,2
42,CA-2016-137330,20161209,20161213,11,NULL,3,79.80,14,0.00,20.7480,2
43,CA-2016-137330,20161209,20161213,11,NULL,2,79.80,14,0.00,20.7480,2
44,CA-2016-137330,20161209,20161213,11,NULL,1,79.80,14,0.00,20.7480,2
45,US-2017-156909,20170716,20170718,12,NULL,4,71.37,2,0.30,-1.0196,1
46,US-2017-156909,20170716,20170718,12,NULL,3,71.37,2,0.30,-1.0196,1
47,US-2017-156909,20170716,20170718,12,NULL,2,71.37,2,0.30,-1.0196,1
48,US-2017-156909,20170716,20170718,12,NULL,1,71.37,2,0.30,-1.0196,1
49,CA-2015-106320,20150925,20150930,13,NULL,4,1044.63,3,0.00,240.2649,1
50,CA-2015-106320,20150925,20150930,13,NULL,3,1044.63,3,0.00,240.2649,1
51,CA-2015-106320,20150925,20150930,13,NULL,2,1044.63,3,0.00,240.2649,1
52,CA-2015-106320,20150925,20150930,13,NULL,1,1044.63,3,0.00,240.2649,1
53,CA-2016-121755,20160116,20160120,14,NULL,4,102.22,5,0.20,15.9965,2
54,CA-2016-121755,20160116,20160120,14,NULL,3,102.22,5,0.20,15.9965,2
55,CA-2016-121755,20160116,20160120,14,NULL,2,102.22,5,0.20,15.9965,2
56,CA-2016-121755,20160116,20160120,14,NULL,1,102.22,5,0.20,15.9965,2
