sales_key,row_id,order_id,order_date_key,ship_date_key,customer_key,product_key,store_key,shipmode_key,sales,quantity,discount,profit
1,1,CA-2016-152156,20161108,20161111,1,1,4,NULL,261.96,2,0.00,41.9136
2,1,CA-2016-152156,20161108,20161111,1,1,3,NULL,261.96,2,0.00,41.9136
3,1,CA-2016-152156,20161108,20161111,1,1,2,NULL,261.96,2,0.00,41.9136
4,1,CA-2016-152156,20161108,20161111,1,1,1,NULL,261.96,2,0.00,41.9136
5,2,CA-2016-152156,20161108,20161111,1,2,4,NULL,731.94,3,0.00,219.5820
6,2,CA-2016-152156,20161108,20161111,1,2,3,NULL,731.94,3,0.00,219.5820
7,2,CA-2016-152156,20161108,20161111,1,2,2,NULL,731.94,3,0.00,219.5820
8,2,CA-2016-152156,20161108,20161111,1,2,1,NULL,731.94,3,0.00,219.5820
9,3,CA-2016-138688,20160612,20160616,2,3,4,NULL,14.62,2,0.00,6.8714
10,3,CA-2016-138688,20160612,20160616,2,3,3,NULL,14.62,2,0.00,6.8714
11,3,CA-2016-138688,20160612,20160616,2,3,2,NULL,14.62,2,0.00,6.8714
12,3,CA-2016-138688,20160612,20160616,2,3,1,NULL,14.62,2,0.00,6.8714
13,4,US-2015-108966,20151011,20151018,3,4,4,NULL,957.58,5,0.45,-383.0310
14,4,US-2015-108966,20151011,20151018,3,4,3,NULL,957.58,5,0.45,-383.0310
15,4,US-2015-108966,20151011,20151018,3,4,2,NULL,957.58,5,0.45,-383.0310
16,4,US-2015-108966,20151011,20151018,3,4,1,NULL,957.58,5,0.45,-383.0310
17,5,US-2015-108966,20151011,20151018,3,5,4,NULL,22.37,2,0.20,2.5164
18,5,US-2015-108966,20151011,20151018,3,5,3,NULL,22.37,2,0.20,2.5164
19,5,US-2015-108966,20151011,20151018,3,5,2,NULL,22.37,2,0.20,2.5164
20,5,US-2015-108966,20151011,20151018,3,5,1,NULL,22.37,2,0.20,2.5164
21,6,CA-2014-115812,20140609,20140614,4,6,4,NULL,48.86,7,0.00,14.1694
22,6,CA-2014-115812,20140609,20140614,4,6,3,NULL,48.86,7,0.00,14.1694
23,6,CA-2014-115812,20140609,20140614,4,6,2,NULL,48.86,7,0.00,14.1694
24,6,CA-2014-115812,20140609,20140614,4,6,1,NULL,48.86,7,0.00,14.1694
25,7,CA-2014-115812,20140609,20140614,4,7,4,NULL,7.28,4,0.00,1.9656
26,7,CA-2014-115812,20140609,20140614,4,7,3,NULL,7.28,4,0.00,1.9656
27,7,CA-2014-115812,20140609,20140614,4,7,2,NULL,7.28,4,0.00,1.9656
28,7,CA-2014-115812,20140609,20140614,4,7,1,NULL,7.28,4,0.00,1.9656
29,8,CA-2014-115812,20140609,20140614,4,8,4,NULL,907.15,6,0.20,90.7152
30,8,CA-2014-115812,20140609,20140614,4,8,3,NULL,907.15,6,0.20,90.7152
31,8,CA-2014-115812,20140609,20140614,4,8,2,NULL,907.15,6,0.20,90.7152
32,8,CA-2014-115812,20140609,20140614,4,8,1,NULL,907.15,6,0.20,90.7152
33,9,CA-2014-115812,20140609,20140614,4,9,4,NULL,18.50,3,0.20,5.7825
34,9,CA-2014-115812,20140609,20140614,4,9,3,NULL,18.50,3,0.20,5.7825
35,9,CA-2014-115812,20140609,20140614,4,9,2,NULL,18.50,3,0.20,5.7825
36,9,CA-2014-115812,20140609,20140614,4,9,1,NULL,18.50,3,0.20,5.7825
37,10,CA-2014-115812,20140609,20140614,4,10,4,NULL,114.90,5,0.00,34.4700
38,10,CA-2014-115812,20140609,20140614,4,10,3,NULL,114.90,5,0.00,34.4700
39,10,CA-2014-115812,20140609,20140614,4,10,2,NULL,114.90,5,0.00,34.4700
40,10,CA-2014-115812,20140609,20140614,4,10,1,NULL,114.90,5,0.00,34.4700
41,11,CA-2014-115812,20140609,20140614,4,11,4,NULL,1706.18,9,0.20,85.3092
42,11,CA-2014-115812,20140609,20140614,4,11,3,NULL,1706.18,9,0.20,85.3092
43,11,CA-2014-115812,20140609,20140614,4,11,2,NULL,1706.18,9,0.20,85.3092
44,11,CA-2014-115812,20140609,20140614,4,11,1,NULL,1706.18,9,0.20,85.3092
45,12,CA-2014-115812,20140609,20140614,4,12,4,NULL,911.42,4,0.20,68.3568
46,12,CA-2014-115812,20140609,20140614,4,12,3,NULL,911.42,4,0.20,68.3568
47,12,CA-2014-115812,20140609,20140614,4,12,2,NULL,911.42,4,0.20,68.3568
48,12,CA-2014-115812,20140609,20140614,4,12,1,NULL,911.42,4,0.20,68.3568
49,13,CA-2017-114412,20170415,20170420,5,13,4,NULL,15.55,3,0.20,5.4432
50,13,CA-2017-114412,20170415,20170420,5,13,3,NULL,15.55,3,0.20,5.4432
51,13,CA-2017-114412,20170415,20170420,5,13,2,NULL,15.55,3,0.20,5.4432
52,13,CA-2017-114412,20170415,20170420,5,13,1,NULL,15.55,3,0.20,5.4432
53,14,CA-2016-161389,20161205,20161210,6,14,4,NULL,407.98,3,0.20,132.5922
54,14,CA-2016-161389,20161205,20161210,6,14,3,NULL,407.98,3,0.20,132.5922
55,14,CA-2016-161389,20161205,20161210,6,14,2,NULL,407.98,3,0.20,132.5922
56,14,CA-2016-161389,20161205,20161210,6,14,1,NULL,407.98,3,0.20,132.5922
57,15,US-2015-118983,20151122,20151126,7,15,4,NULL,68.81,5,0.80,-123.8580
58,15,US-2015-118983,20151122,20151126,7,15,3,NULL,68.81,5,0.80,-123.8580
59,15,US-2015-118983,20151122,20151126,7,15,2,NULL,68.81,5,0.80,-123.8580
60,15,US-2015-118983,20151122,20151126,7,15,1,NULL,68.81,5,0.80,-123.8580
61,16,US-2015-118983,20151122,20151126,7,16,4,NULL,2.54,3,0.80,-3.8160
62,16,US-2015-118983,20151122,20151126,7,16,3,NULL,2.54,3,0.80,-3.8160
63,16,US-2015-118983,20151122,20151126,7,16,2,NULL,2.54,3,0.80,-3.8160
64,16,US-2015-118983,20151122,20151126,7,16,1,NULL,2.54,3,0.80,-3.8160
65,17,CA-2014-105893,20141111,20141118,8,17,4,NULL,665.88,6,0.00,13.3176
66,17,CA-2014-105893,20141111,20141118,8,17,3,NULL,665.88,6,0.00,13.3176
67,17,CA-2014-105893,20141111,20141118,8,17,2,NULL,665.88,6,0.00,13.3176
68,17,CA-2014-105893,20141111,20141118,8,17,1,NULL,665.88,6,0.00,13.3176
69,18,CA-2014-167164,20140513,20140515,9,18,4,NULL,55.50,2,0.00,9.9900
70,18,CA-2014-167164,20140513,20140515,9,18,3,NULL,55.50,2,0.00,9.9900
71,18,CA-2014-167164,20140513,20140515,9,18,2,NULL,55.50,2,0.00,9.9900
72,18,CA-2014-167164,20140513,20140515,9,18,1,NULL,55.50,2,0.00,9.9900
73,19,CA-2014-143336,20140827,20140901,10,19,4,NULL,8.56,2,0.00,2.4824
74,19,CA-2014-143336,20140827,20140901,10,19,3,NULL,8.56,2,0.00,2.4824
75,19,CA-2014-143336,20140827,20140901,10,19,2,NULL,8.56,2,0.00,2.4824
76,19,CA-2014-143336,20140827,20140901,10,19,1,NULL,8.56,2,0.00,2.4824
77,20,CA-2014-143336,20140827,20140901,10,20,4,NULL,213.48,3,0.20,16.0110
78,20,CA-2014-143336,20140827,20140901,10,20,3,NULL,213.48,3,0.20,16.0110
79,20,CA-2014-143336,20140827,20140901,10,20,2,NULL,213.48,3,0.20,16.0110
80,20,CA-2014-143336,20140827,20140901,10,20,1,NULL,213.48,3,0.20,16.0110
81,21,CA-2014-143336,20140827,20140901,10,21,4,NULL,22.72,4,0.20,7.3840
82,21,CA-2014-143336,20140827,20140901,10,21,3,NULL,22.72,4,0.20,7.3840
83,21,CA-2014-143336,20140827,20140901,10,21,2,NULL,22.72,4,0.20,7.3840
84,21,CA-2014-143336,20140827,20140901,10,21,1,NULL,22.72,4,0.20,7.3840
85,22,CA-2016-137330,20161209,20161213,11,22,4,NULL,19.46,7,0.00,5.0596
86,22,CA-2016-137330,20161209,20161213,11,22,3,NULL,19.46,7,0.00,5.0596
87,22,CA-2016-137330,20161209,20161213,11,22,2,NULL,19.46,7,0.00,5.0596
88,22,CA-2016-137330,20161209,20161213,11,22,1,NULL,19.46,7,0.00,5.0596
89,23,CA-2016-137330,20161209,20161213,11,23,4,NULL,60.34,7,0.00,15.6884
90,23,CA-2016-137330,20161209,20161213,11,23,3,NULL,60.34,7,0.00,15.6884
91,23,CA-2016-137330,20161209,20161213,11,23,2,NULL,60.34,7,0.00,15.6884
92,23,CA-2016-137330,20161209,20161213,11,23,1,NULL,60.34,7,0.00,15.6884
93,24,US-2017-156909,20170716,20170718,12,24,4,NULL,71.37,2,0.30,-1.0196
94,24,US-2017-156909,20170716,20170718,12,24,3,NULL,71.37,2,0.30,-1.0196
95,24,US-2017-156909,20170716,20170718,12,24,2,NULL,71.37,2,0.30,-1.0196
96,24,US-2017-156909,20170716,20170718,12,24,1,NULL,71.37,2,0.30,-1.0196
97,25,CA-2015-106320,20150925,20150930,13,4,4,NULL,1044.63,3,0.00,240.2649
98,25,CA-2015-106320,20150925,20150930,13,4,3,NULL,1044.63,3,0.00,240.2649
99,25,CA-2015-106320,20150925,20150930,13,4,2,NULL,1044.63,3,0.00,240.2649
100,25,CA-2015-106320,20150925,20150930,13,4,1,NULL,1044.63,3,0.00,240.2649
101,26,CA-2016-121755,20160116,20160120,14,25,4,NULL,11.65,2,0.20,4.2224
102,26,CA-2016-121755,20160116,20160120,14,25,3,NULL,11.65,2,0.20,4.2224
103,26,CA-2016-121755,20160116,20160120,14,25,2,NULL,11.65,2,0.20,4.2224
104,26,CA-2016-121755,20160116,20160120,14,25,1,NULL,11.65,2,0.20,4.2224
105,27,CA-2016-121755,20160116,20160120,14,26,4,NULL,90.57,3,0.00,11.7741
106,27,CA-2016-121755,20160116,20160120,14,26,3,NULL,90.57,3,0.00,11.7741
107,27,CA-2016-121755,20160116,20160120,14,26,2,NULL,90.57,3,0.00,11.7741
108,27,CA-2016-121755,20160116,20160120,14,26,1,NULL,90.57,3,0.00,11.7741
109,28,US-2015-150630,20150917,20150921,15,27,4,NULL,3083.43,7,0.50,-1665.0522
110,28,US-2015-150630,20150917,20150921,15,27,3,NULL,3083.43,7,0.50,-1665.0522
111,28,US-2015-150630,20150917,20150921,15,27,2,NULL,3083.43,7,0.50,-1665.0522
112,28,US-2015-150630,20150917,20150921,15,27,1,NULL,3083.43,7,0.50,-1665.0522
113,29,US-2015-150630,20150917,20150921,15,28,4,NULL,9.62,2,0.70,-7.0532
114,29,US-2015-150630,20150917,20150921,15,28,3,NULL,9.62,2,0.70,-7.0532
115,29,US-2015-150630,20150917,20150921,15,28,2,NULL,9.62,2,0.70,-7.0532
116,29,US-2015-150630,20150917,20150921,15,28,1,NULL,9.62,2,0.70,-7.0532
117,30,US-2015-150630,20150917,20150921,15,29,4,NULL,124.20,3,0.20,15.5250
118,30,US-2015-150630,20150917,20150921,15,29,3,NULL,124.20,3,0.20,15.5250
119,30,US-2015-150630,20150917,20150921,15,29,2,NULL,124.20,3,0.20,15.5250
120,30,US-2015-150630,20150917,20150921,15,29,1,NULL,124.20,3,0.20,15.5250
121,31,US-2015-150630,20150917,20150921,15,30,4,NULL,3.26,2,0.20,1.1016
122,31,US-2015-150630,20150917,20150921,15,30,3,NULL,3.26,2,0.20,1.1016
123,31,US-2015-150630,20150917,20150921,15,30,2,NULL,3.26,2,0.20,1.1016
124,31,US-2015-150630,20150917,20150921,15,30,1,NULL,3.26,2,0.20,1.1016
125,32,US-2015-150630,20150917,20150921,15,31,4,NULL,86.30,6,0.20,9.7092
126,32,US-2015-150630,20150917,20150921,15,31,3,NULL,86.30,6,0.20,9.7092
127,32,US-2015-150630,20150917,20150921,15,31,2,NULL,86.30,6,0.20,9.7092
128,32,US-2015-150630,20150917,20150921,15,31,1,NULL,86.30,6,0.20,9.7092
129,33,US-2015-150630,20150917,20150921,15,32,4,NULL,6.86,6,0.70,-5.7150
130,33,US-2015-150630,20150917,20150921,15,32,3,NULL,6.86,6,0.70,-5.7150
131,33,US-2015-150630,20150917,20150921,15,32,2,NULL,6.86,6,0.70,-5.7150
132,33,US-2015-150630,20150917,20150921,15,32,1,NULL,6.86,6,0.70,-5.7150
133,34,US-2015-150630,20150917,20150921,15,33,4,NULL,15.76,2,0.20,3.5460
134,34,US-2015-150630,20150917,20150921,15,33,3,NULL,15.76,2,0.20,3.5460
135,34,US-2015-150630,20150917,20150921,15,33,2,NULL,15.76,2,0.20,3.5460
136,34,US-2015-150630,20150917,20150921,15,33,1,NULL,15.76,2,0.20,3.5460
137,35,CA-2017-107727,20171019,20171023,16,34,4,NULL,29.47,3,0.20,9.9468
138,35,CA-2017-107727,20171019,20171023,16,34,3,NULL,29.47,3,0.20,9.9468
139,35,CA-2017-107727,20171019,20171023,16,34,2,NULL,29.47,3,0.20,9.9468
140,35,CA-2017-107727,20171019,20171023,16,34,1,NULL,29.47,3,0.20,9.9468
141,36,CA-2016-117590,20161208,20161210,17,35,4,NULL,1097.54,7,0.20,123.4737
142,36,CA-2016-117590,20161208,20161210,17,35,3,NULL,1097.54,7,0.20,123.4737
143,36,CA-2016-117590,20161208,20161210,17,35,2,NULL,1097.54,7,0.20,123.4737
144,36,CA-2016-117590,20161208,20161210,17,35,1,NULL,1097.54,7,0.20,123.4737
145,37,CA-2016-117590,20161208,20161210,17,36,4,NULL,190.92,5,0.60,-147.9630
146,37,CA-2016-117590,20161208,20161210,17,36,3,NULL,190.92,5,0.60,-147.9630
147,37,CA-2016-117590,20161208,20161210,17,36,2,NULL,190.92,5,0.60,-147.9630
148,37,CA-2016-117590,20161208,20161210,17,36,1,NULL,190.92,5,0.60,-147.9630
149,38,CA-2015-117415,20151227,20151231,18,37,4,NULL,113.33,9,0.20,35.4150
150,38,CA-2015-117415,20151227,20151231,18,37,3,NULL,113.33,9,0.20,35.4150
151,38,CA-2015-117415,20151227,20151231,18,37,2,NULL,113.33,9,0.20,35.4150
152,38,CA-2015-117415,20151227,20151231,18,37,1,NULL,113.33,9,0.20,35.4150
153,39,CA-2015-117415,20151227,20151231,18,38,4,NULL,532.40,3,0.32,-46.9764
154,39,CA-2015-117415,20151227,20151231,18,38,3,NULL,532.40,3,0.32,-46.9764
155,39,CA-2015-117415,20151227,20151231,18,38,2,NULL,532.40,3,0.32,-46.9764
156,39,CA-2015-117415,20151227,20151231,18,38,1,NULL,532.40,3,0.32,-46.9764
157,40,CA-2015-117415,20151227,20151231,18,39,4,NULL,212.06,3,0.30,-15.1470
158,40,CA-2015-117415,20151227,20151231,18,39,3,NULL,212.06,3,0.30,-15.1470
159,40,CA-2015-117415,20151227,20151231,18,39,2,NULL,212.06,3,0.30,-15.1470
160,40,CA-2015-117415,20151227,20151231,18,39,1,NULL,212.06,3,0.30,-15.1470
161,41,CA-2015-117415,20151227,20151231,18,40,4,NULL,371.17,4,0.20,41.7564
162,41,CA-2015-117415,20151227,20151231,18,40,3,NULL,371.17,4,0.20,41.7564
163,41,CA-2015-117415,20151227,20151231,18,40,2,NULL,371.17,4,0.20,41.7564
164,41,CA-2015-117415,20151227,20151231,18,40,1,NULL,371.17,4,0.20,41.7564
165,42,CA-2017-120999,20170910,20170915,19,41,4,NULL,147.17,4,0.20,16.5564
166,42,CA-2017-120999,20170910,20170915,19,41,3,NULL,147.17,4,0.20,16.5564
167,42,CA-2017-120999,20170910,20170915,19,41,2,NULL,147.17,4,0.20,16.5564
168,42,CA-2017-120999,20170910,20170915,19,41,1,NULL,147.17,4,0.20,16.5564
169,43,CA-2016-101343,20160717,20160722,20,42,4,NULL,77.88,2,0.00,3.8940
170,43,CA-2016-101343,20160717,20160722,20,42,3,NULL,77.88,2,0.00,3.8940
171,43,CA-2016-101343,20160717,20160722,20,42,2,NULL,77.88,2,0.00,3.8940
172,43,CA-2016-101343,20160717,20160722,20,42,1,NULL,77.88,2,0.00,3.8940
173,44,CA-2017-139619,20170919,20170923,21,43,4,NULL,95.62,2,0.20,9.5616
174,44,CA-2017-139619,20170919,20170923,21,43,3,NULL,95.62,2,0.20,9.5616
175,44,CA-2017-139619,20170919,20170923,21,43,2,NULL,95.62,2,0.20,9.5616
176,44,CA-2017-139619,20170919,20170923,21,43,1,NULL,95.62,2,0.20,9.5616
177,45,CA-2016-118255,20160311,20160313,22,44,4,NULL,45.98,2,0.00,19.7714
178,45,CA-2016-118255,20160311,20160313,22,44,3,NULL,45.98,2,0.00,19.7714
179,45,CA-2016-118255,20160311,20160313,22,44,2,NULL,45.98,2,0.00,19.7714
180,45,CA-2016-118255,20160311,20160313,22,44,1,NULL,45.98,2,0.00,19.7714
181,46,CA-2016-118255,20160311,20160313,22,45,4,NULL,17.46,2,0.00,8.2062
182,46,CA-2016-118255,20160311,20160313,22,45,3,NULL,17.46,2,0.00,8.2062
183,46,CA-2016-118255,20160311,20160313,22,45,2,NULL,17.46,2,0.00,8.2062
184,46,CA-2016-118255,20160311,20160313,22,45,1,NULL,17.46,2,0.00,8.2062
185,47,CA-2014-146703,20141020,20141025,23,46,4,NULL,211.96,4,0.00,8.4784
186,47,CA-2014-146703,20141020,20141025,23,46,3,NULL,211.96,4,0.00,8.4784
187,47,CA-2014-146703,20141020,20141025,23,46,2,NULL,211.96,4,0.00,8.4784
188,47,CA-2014-146703,20141020,20141025,23,46,1,NULL,211.96,4,0.00,8.4784
189,48,CA-2016-169194,20160620,20160625,24,47,4,NULL,45.00,3,0.00,4.9500
190,48,CA-2016-169194,20160620,20160625,24,47,3,NULL,45.00,3,0.00,4.9500
191,48,CA-2016-169194,20160620,20160625,24,47,2,NULL,45.00,3,0.00,4.9500
192,48,CA-2016-169194,20160620,20160625,24,47,1,NULL,45.00,3,0.00,4.9500
193,49,CA-2016-169194,20160620,20160625,24,48,4,NULL,21.80,2,0.00,6.1040
194,49,CA-2016-169194,20160620,20160625,24,48,3,NULL,21.80,2,0.00,6.1040
195,49,CA-2016-169194,20160620,20160625,24,48,2,NULL,21.80,2,0.00,6.1040
196,49,CA-2016-169194,20160620,20160625,24,48,1,NULL,21.80,2,0.00,6.1040
197,50,CA-2015-115742,20150418,20150422,25,49,4,NULL,38.22,6,0.00,17.9634
198,50,CA-2015-115742,20150418,20150422,25,49,3,NULL,38.22,6,0.00,17.9634
199,50,CA-2015-115742,20150418,20150422,25,49,2,NULL,38.22,6,0.00,17.9634
200,50,CA-2015-115742,20150418,20150422,25,49,1,NULL,38.22,6,0.00,17.9634
